Date,Open,High,Low,Close,Volume,Adj Close
2016-05-18,77.00,78.169998,76.860001,77.519997,660900,77.519997
2016-05-17,77.489998,77.669998,76.699997,76.959999,956100,76.959999
2016-05-16,77.230003,78.120003,77.150002,77.830002,595600,77.830002
2016-05-13,77.089996,77.419998,76.739998,77.029999,1193300,77.029999
2016-05-12,77.889999,78.040001,76.870003,77.25,559100,77.25
2016-05-11,77.00,77.489998,76.849998,76.860001,974100,76.860001
2016-05-10,76.860001,77.629997,76.849998,77.589996,620900,77.589996
2016-05-09,78.410004,78.699997,78.150002,78.309998,933500,76.999997
2016-05-06,76.989998,77.440002,76.790001,77.330002,467300,76.036395
2016-05-05,76.800003,77.75,76.669998,77.07,1288100,75.780742
2016-05-04,77.620003,77.68,77.169998,77.470001,1121700,76.174052
2016-05-03,78.82,79.010002,78.18,78.519997,710300,77.206483
2016-05-02,79.68,79.860001,79.150002,79.75,893600,78.41591
2016-04-29,78.739998,78.830002,78.169998,78.620003,878700,77.304816
2016-04-28,79.519997,80.190002,79.199997,79.370003,982700,78.042269
2016-04-27,80.379997,81.190002,80.199997,81.019997,1350900,79.664662
2016-04-26,79.199997,79.809998,78.980003,79.50,869700,78.170092
2016-04-25,79.510002,80.019997,79.32,79.949997,599500,78.612561
2016-04-22,80.660004,80.720001,79.790001,80.199997,891000,78.858379
2016-04-21,80.00,80.599998,79.720001,80.120003,861100,78.779723
2016-04-20,80.25,80.900002,80.029999,80.550003,1574100,79.20253
2016-04-19,80.970001,81.040001,80.199997,80.629997,1447100,79.281186
2016-04-18,79.019997,79.709999,78.980003,79.339996,690400,78.012765
2016-04-15,78.889999,79.169998,78.370003,78.510002,515500,77.196655
2016-04-14,78.989998,79.120003,78.620003,79.029999,932700,77.707953
2016-04-13,77.940002,78.43,77.709999,78.330002,747800,77.019666
2016-04-12,77.25,78.68,77.059998,78.580002,1717600,77.265484
2016-04-11,76.709999,77.540001,76.709999,76.900002,1991200,75.613587
2016-04-08,77.379997,77.470001,76.629997,76.709999,2004800,75.426763
2016-04-07,77.660004,77.910004,77.120003,77.269997,955600,75.977393
2016-04-06,77.800003,79.190002,77.75,79.190002,746800,77.86528
2016-04-05,78.339996,78.50,77.760002,77.849998,1881500,76.547692
2016-04-04,79.900002,80.110001,79.32,79.540001,710300,78.209424
2016-04-01,78.720001,79.970001,78.690002,79.730003,842400,78.396248
2016-03-31,80.949997,81.239998,80.379997,80.419998,608000,79.0747
2016-03-30,80.660004,81.230003,80.599998,80.690002,966300,79.340188
2016-03-29,78.889999,80.279999,78.669998,80.199997,1082600,78.858379
2016-03-28,79.779999,80.470001,79.43,80.230003,797200,78.887884
2016-03-24,79.190002,79.529999,79.07,79.440002,389300,78.111098
2016-03-23,80.150002,80.150002,79.330002,79.489998,705800,78.160257
2016-03-22,78.919998,79.769997,78.82,79.559998,322700,78.229086
2016-03-21,79.550003,79.900002,79.389999,79.620003,688600,78.288087
2016-03-18,79.550003,80.300003,79.209999,79.910004,707700,78.573237
2016-03-17,79.209999,80.18,79.059998,79.879997,659100,78.543733
2016-03-16,78.980003,80.209999,78.839996,80.07,553000,78.730557
2016-03-15,78.980003,79.389999,78.790001,79.32,431200,77.993103
2016-03-14,78.82,79.120003,78.57,78.760002,549100,77.442473
2016-03-11,77.610001,78.720001,77.519997,78.650002,750100,77.334313
2016-03-10,77.879997,78.489998,76.199997,76.860001,1087800,75.574256
2016-03-09,77.169998,77.309998,76.720001,77.019997,757600,75.731575
2016-03-08,76.300003,76.980003,76.220001,76.339996,628900,75.06295
2016-03-07,76.400002,76.790001,76.110001,76.459999,1194600,75.180946
2016-03-04,77.00,77.419998,76.510002,76.940002,957300,75.652919
2016-03-03,76.300003,76.769997,75.790001,76.669998,830400,75.387432
2016-03-02,77.099998,77.739998,76.68,77.709999,1079600,76.410035
2016-03-01,76.790001,77.919998,76.720001,77.910004,892800,76.606694
2016-02-29,75.370003,76.199997,75.32,75.339996,791500,74.079679
2016-02-26,78.080002,78.080002,76.360001,76.419998,1389600,75.141614
2016-02-25,77.199997,78.089996,76.919998,78.080002,1007300,76.773848
2016-02-24,75.110001,76.18,74.699997,76.029999,1021100,74.758138
2016-02-23,77.32,77.440002,76.699997,76.779999,562500,75.495592
2016-02-22,77.269997,77.879997,77.269997,77.599998,1417700,76.301875
2016-02-19,76.559998,77.769997,76.43,77.629997,1359700,76.331372
2016-02-18,77.269997,77.32,76.540001,76.75,805000,75.466095
2016-02-17,76.120003,76.889999,75.989998,76.769997,1091300,75.485757
2016-02-16,74.949997,76.040001,74.459999,75.739998,1720700,74.472989
2016-02-12,73.360001,73.699997,72.660004,73.68,1514000,72.447452
2016-02-11,74.580002,74.800003,73.690002,74.290001,1253500,73.047248
2016-02-10,75.57,75.989998,74.860001,74.949997,1645000,73.696203
2016-02-09,73.480003,75.589996,73.419998,74.879997,2887200,73.627375
2016-02-08,73.760002,74.370003,73.290001,74.309998,2167700,73.06691
2016-02-05,77.389999,77.419998,74.93,75.400002,1756200,74.13868
2016-02-04,77.790001,78.669998,77.540001,78.230003,1283400,76.92134
2016-02-03,78.610001,79.330002,77.43,79.07,1274600,77.747285
2016-02-02,78.470001,78.540001,77.580002,77.709999,1300400,76.410035
2016-02-01,78.669998,79.970001,78.550003,79.699997,1213300,78.366743
2016-01-29,78.220001,79.830002,78.150002,79.800003,1339400,78.465077
2016-01-28,78.82,78.910004,77.440002,77.699997,1581800,76.4002
